Jim Gibbons,M,Caucasian/White,1944,null,null,2007,2011,Nevada
Brian Sandoval,M,Hispanic/Latino,1963,null,null,2011,2019,Nevada
Steve Sisolak,M,Caucasian/White,1953,null,null,2019,2021,Nevada
Walter R. Peterson Jr.,M,Caucasian/White,1922,null,null,1969,1973,New Hampshire
Meldrim Thomson Jr.,M,Caucasian/White,1912,null,null,1973,1979,New Hampshire
Hugh J. Gallen,M,Caucasian/White,1924,null,null,1979,1982,New Hampshire
Vesta M. Roy,M,Caucasian/White,1925,null,null,1982,1983,New Hampshire
John H. Sununu,M,Hispanic/Latino,1939,null,null,1983,1989,New Hampshire
Judd Gregg,M,Caucasian/White,1947,null,null,1989,1993,New Hampshire
Ralph D. Hough,M,Caucasian/White,1943,null,null,1993,1993,New Hampshire
Steve Merrill,M,Caucasian/White,1946,null,null,1993,1997,New Hampshire
Jeanne Shaheen,F,Caucasian/White,1947,null,null,1997,2003,New Hampshire
Craig Benson,M,Caucasian/White,1954,null,null,2003,2005,New Hampshire
John Lynch,M,Caucasian/White,1952,null,null,2005,2013,New Hampshire
Maggie Hassan,F,Caucasian/White,1958,null,null,2013,2017,New Hampshire
Chuck Morse,M,Caucasian/White,1960,null,null,2017,2017,New Hampshire
Chris Sununu,M,Caucasian/White,1974,null,null,2017,2021,New Hampshire
Richard J. Hughes,M,Caucasian/White,1909,null,null,1962,1970,New Jersey
William T. Cahill,M,Caucasian/White,1912,null,null,1970,1974,New Jersey
Brendan Byrne,M,Caucasian/White,1924,null,null,1974,1982,New Jersey
Thomas Kean,M,Caucasian/White,1935,null,null,1982,1990,New Jersey
James Florio,M,Caucasian/White,1937,null,null,1990,1994,New Jersey
Christine Todd Whitman,F,Caucasian/White,1946,null,null,1994,2001,New Jersey
Donald DiFrancesco,M,Caucasian/White,1944,null,null,2001,2002,New Jersey
John Farmer Jr.,M,Caucasian/White,1957,null,null,2002,2002,New Jersey
John O. Bennett,M,Caucasian/White,1948,null,null,2002,2002,New Jersey
Richard Codey,M,Caucasian/White,1946,null,null,2002,2002,New Jersey
Jim McGreevey,M,Caucasian/White,1957,null,null,2002,2004,New Jersey
Richard Codey,M,Caucasian/White,1946,null,null,2004,2006,New Jersey
Jon Corzine,M,Caucasian/White,1947,null,null,2006,2010,New Jersey
Chris Christie,M,Caucasian/White,1962,null,null,2010,2018,New Jersey
Phil Murphy,M,Caucasian/White,1957,null,null,2018,2021,New Jersey
David Cargo,M,Caucasian/White,1929,null,null,1967,1971,New Mexico
Bruce King,M,Caucasian/White,1924,null,null,1971,1975,New Mexico
Jerry Apodaca,M,Hispanic/Latino,1934,null,null,1975,1979,New Mexico
Bruce King,M,Caucasian/White,1924,null,null,1979,1983,New Mexico
Toney Anaya,M,Hispanic/Latino,1941,null,null,1983,1987,New Mexico
Garrey Carruthers,M,Caucasian/White,1939,null,null,1987,1991,New Mexico
Bruce King,M,Caucasian/White,1924,null,null,1991,1995,New Mexico
Gary Johnson,M,Caucasian/White,1953,null,null,1995,2003,New Mexico
Bill Richardson,M,Hispanic/Latino,1947,null,null,2003,2011,New Mexico
Susana Martinez,F,Hispanic/Latino,1959,null,null,2011,2019,New Mexico
Michelle Lujan Grisham,F,Caucasian/White,1959,null,null,2019,2021,New Mexico
Nelson Rockefeller,M,Caucasian/White,1908,null,null,1959,1973,New York
Malcolm Wilson,M,Caucasian/White,1914,null,null,1973,1974,New York
Hugh Carey,M,Caucasian/White,1919,null,null,1975,1982,New York
Mario Cuomo,M,Caucasian/White,1932,null,null,1983,1994,New York
George Pataki,M,Caucasian/White,1945,null,null,1995,2006,New York
Eliot Spitzer,M,Caucasian/White,1959,null,null,2007,2008,New York
David Paterson,M,Black/African American,1954,null,null,2008,2010,New York
Andrew Cuomo,M,Caucasian/White,1957,null,null,2011,2021,New York
Robert W. Scott,M,Caucasian/White,1929,null,null,1969,1973,North Carolina
James Holshouser,M,Caucasian/White,1934,null,null,1973,1977,North Carolina
Jim Hunt,M,Caucasian/White,1937,null,null,1977,1985,North Carolina
James G. Martin,M,Caucasian/White,1935,null,null,1985,1993,North Carolina
Jim Hunt,M,Caucasian/White,1937,null,null,1993,2001,North Carolina
Mike Easley,M,Caucasian/White,1950,null,null,2001,2009,North Carolina
Bev Perdue,F,Caucasian/White,1947,null,null,2009,2013,North Carolina
Pat McCrory,M,Caucasian/White,1956,null,null,2013,2017,North Carolina
Roy Cooper,M,Caucasian/White,1957,null,null,2017,2021,North Carolina
William L. Guy,M,Caucasian/White,1919,null,null,1961,1973,North Dakota
Arthur A. Link,M,Caucasian/White,1914,null,null,1973,1981,North Dakota
Allen I. Olson,M,Caucasian/White,1938,null,null,1981,1985,North Dakota
George A. Sinner,M,Caucasian/White,1928,null,null,1985,1992,North Dakota
Ed Schafer,M,Caucasian/White,1946,null,null,1992,2000,North Dakota
John Hoeven,M,Caucasian/White,1957,null,null,2000,2010,North Dakota
Jack Dalrymple,M,Caucasian/White,1948,null,null,2010,2016,North Dakota
Doug Burgum,M,Caucasian/White,1956,null,null,2016,2021,North Dakota
Jim Rhodes,M,Caucasian/White,1909,null,null,1963,1971,Ohio
John J. Gilligan,M,Caucasian/White,1921,null,null,1971,1975,Ohio
Jim Rhodes,M,Caucasian/White,1909,null,null,1975,1983,Ohio
Dick Celeste,M,Caucasian/White,1937,null,null,1983,1991,Ohio
George Voinovich,M,Caucasian/White,1936,null,null,1991,1998,Ohio
Nancy Hollister,F,Caucasian/White,1949,null,null,1998,1999,Ohio
Bob Taft,M,Caucasian/White,1942,null,null,1999,2007,Ohio
Ted Strickland,M,Caucasian/White,1941,null,null,2007,2011,Ohio
John Kasich,M,Caucasian/White,1952,null,null,2011,2019,Ohio
Mike DeWine,M,Caucasian/White,1947,null,null,2019,2021,Ohio
Dewey F. Bartlett,M,Caucasian/White,1919,null,null,1967,1971,Oklahoma
David Hall,M,Caucasian/White,1930,null,null,1971,1975,Oklahoma
David Boren,M,Caucasian/White,1941,null,null,1975,1979,Oklahoma
George Nigh,M,Caucasian/White,1927,null,null,1979,1987,Oklahoma
Henry Bellmon,M,Caucasian/White,1921,null,null,1987,1991,Oklahoma
David Walters,M,Caucasian/White,1951,null,null,1991,1995,Oklahoma
Frank Keating,M,Caucasian/White,1944,null,null,1995,2003,Oklahoma
Brad Henry,M,Caucasian/White,1963,null,null,2003,2011,Oklahoma
Mary Fallin,F,Caucasian/White,1954,null,null,2011,2019,Oklahoma
Kevin Stitt,M,Caucasian/White,1972,null,null,2019,2021,Oklahoma
Tom McCall,M,Caucasian/White,1913,null,null,1967,1975,Oregon
Robert W. Straub,M,Caucasian/White,1920,null,null,1975,1979,Oregon
Victor Atiyeh,M,Caucasian/White,1923,null,null,1979,1987,Oregon
Neil Goldschmidt,M,Caucasian/White,1940,null,null,1987,1991,Oregon
Barbara Roberts,F,Caucasian/White,1936,null,null,1991,1995,Oregon
John Kitzhaber,M,Caucasian/White,1947,null,null,1995,2003,Oregon
Ted Kulongoski,M,Caucasian/White,1940,null,null,2003,2011,Oregon
John Kitzhaber,M,Caucasian/White,1947,null,null,2011,2015,Oregon
Kate Brown,F,Caucasian/White,1960,null,null,2015,2021,Oregon
Ray Shafer,M,Caucasian/White,1917,null,null,1967,1971,Pennsylvania
Milton Shapp,M,Caucasian/White,1912,null,null,1971,1979,Pennsylvania
Dick Thornburgh,M,Caucasian/White,1932,null,null,1979,1987,Pennsylvania
Bob Casey Sr.,M,Caucasian/White,1932,null,null,1987,1995,Pennsylvania
Tom Ridge,M,Caucasian/White,1945,null,null,1995,2001,Pennsylvania
Mark Schweiker,M,Caucasian/White,1953,null,null,2001,2003,Pennsylvania
Ed Rendell,M,Caucasian/White,1944,null,null,2003,2011,Pennsylvania
Tom Corbett,M,Caucasian/White,1949,null,null,2011,2015,Pennsylvania
Tom Wolf,M,Caucasian/White,1948,null,null,2015,2021,Pennsylvania
Frank Licht,M,Caucasian/White,1916,null,null,1969,1973,Rhode Island
Philip W. Noel,M,Caucasian/White,1931,null,null,1973,1977,Rhode Island
J. Joseph Garrahy,M,Caucasian/White,1930,null,null,1977,1985,Rhode Island
Edward D. DiPrete,M,Caucasian/White,1934,null,null,1985,1991,Rhode Island
Bruce Sundlun,M,Caucasian/White,1920,null,null,1991,1995,Rhode Island
Lincoln Almond,M,Caucasian/White,1936,null,null,1995,2003,Rhode Island
Donald Carcieri,M,Caucasian/White,1942,null,null,2003,2011,Rhode Island
Lincoln Chafee,M,Caucasian/White,1953,null,null,2011,2015,Rhode Island
Gina Raimondo,F,Caucasian/White,1971,null,null,2015,2021,Rhode Island
